username,password,email
AlphaOne,Alpha123!,"alpha.one@example.com"
BetaUser,beta,"betauser.com"
CharlieC,Charli3$,"charlie@domain"
Delta99,Delta99!,"delta99@example.com"
EchoUser,echo,"echouser@example"
Foxtrot,Foxtrot123,"foxtrot@example.com"
Golf123,Golf@123,"golf123@domain.com"
HotelUser,hotel,"hoteluser@example.com"
India88,India88!,"india88@example.com"
Juliet,Juliet1,"juliet@example.com"
KiloUser,Kilo123!,"kilouser@example"
Lima99,Lima99,"lima99@example.com"
MikeMike,MikeMike!1,"mike@example.com"
November,N0vember!,"november@domain.com"
OscarUser,Oscar123,"oscaruser@domain.com"
